alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Pancoran Mas, Depok",2988000000,4,140,140
"Sawangan, Depok",900000000,3,78,70
"Pasir Putih, Depok",500000000,2,45,80
"Cinangka, Depok",2900000000,7,365,853
"Sawangan, Depok",1411000000,2,88,84
"Cinere, Depok",1640000000,3,73,60
"Cilodong, Depok",350000000,2,42,37
"Cilodong, Depok",895000000,3,70,70
"Sukmajaya, Depok",990000000,3,66,85
"Kalimulya, Depok",685000000,2,45,71
"Cinere, Depok",6000000000,4,200,250
"Pancoran Mas, Depok",780000000,2,65,92
"Cilodong, Depok",765000000,3,66,72
"Cimanggis, Depok",2680000000,4,120,132
"Cimanggis, Depok",1930000000,4,165,128
"Tapos, Depok",3453200000,3,165,153
"Rangkapan Jaya, Depok",1379000000,3,65,84
"Cilodong, Depok",780000000,3,60,60
"Limo, Depok",800000000,2,85,105
"Bojongsari, Depok",2797000000,4,120,129
"Bojongsari, Depok",1411000000,3,85,84
"Sawangan, Depok",636500000,2,38,72
"Tapos, Depok",2695400000,3,128,119
"Sawangan, Depok",2763000000,2,160,120
"Cimanggis, Depok",1377448800,3,89,90
"Cilodong, Depok",1200000000,2,52,153
"Cinere, Depok",949410000,2,36,75
"Sawangan Baru, Depok",1200000000,3,100,100
"Limo, Depok",555000000,2,36,60
"Cilodong, Depok",1660000000,3,150,160
"Beji, Depok",1040000000,2,100,95
"Sawangan, Depok",1849000000,4,107,96
"Sawangan, Depok",1080000000,3,70,72
"Margonda, Depok",3000000000,4,300,300
"Sawangan, Depok",795000000,3,60,72
Depok,2100000000,3,136,112
"Cimanggis, Depok",850000000,2,65,96
"Sukmajaya, Depok",790000000,2,100,120
"Tapos, Depok",1530000000,2,58,80
"Limo, Depok",2500000000,2,100,170
"Cilodong, Depok",865150000,3,66,72
"Cinere, Depok",2600000000,5,150,400
"Cilodong, Depok",865150000,3,66,72
"Sukmajaya, Depok",904500500,3,55,70
"Cilodong, Depok",655000000,2,40,67
"Gandul, Depok",2380000000,4,140,110
"Cilodong, Depok",350000000,2,54,89
"Cipayung, Depok",852900000,3,60,80
"Sukmajaya, Depok",830000000,3,80,99
"Sukmajaya, Depok",1250000000,3,88,95
"Cinere, Depok",1200000000,3,216,144
"Depok, Depok",368000000,2,32,55
Depok,9700000000,25,400,1308
"Cinere, Depok",1450000000,3,45,100
"Mekarsari, Depok",600000000,1,50,200
"Depok, Depok",795000000,3,70,72
"Pancoran Mas, Depok",610000000,3,75,90
"Sawangan, Depok",750000000,3,109,140
"Citayam, Depok",456400000,2,36,79
"Citayam, Depok",380400000,2,36,60
"Bojongsari, Depok",500000000,3,170,258
